Dataset 2 - 20 books;;;;;;
1;book1;book1;Tema1;1;10;4
2;book2;book2;Tema2;2;40;1
3;book3;book3;Tema3;3;90;1
4;book4;book4;Tema4;4;80;3
5;book5;book5;Tema5;5;20;1
6;book6;book6;Tema6;6;50;2
7;book7;book7;Tema7;7;10;4
8;book8;book8;Tema8;8;10;4
9;book9;book9;Tema9;9;50;3
10;book10;book10;Tema10;10;70;1
11;book11;book11;Tema11;11;10;1
12;book12;book12;Tema12;12;20;2
13;book13;book13;Tema13;13;20;3
14;book14;book14;Tema14;14;10;1
15;book15;book15;Tema15;15;80;4
16;book16;book16;Tema16;16;70;3
17;book17;book17;Tema17;17;10;3
18;book18;book18;Tema18;18;90;1
19;book19;book19;Tema19;19;70;4
20;book20;book20;Tema20;20;50;3
